name,type,district,sub_district,address,phone,email,website,operator,lat,lon,osm_id,source
"Community Health Centre, Neriamangalam",Community Health Centre (CHC),Ernakulam,,,,,,,10.0524393,76.7726069,way/934542172,OpenStreetMap
Community Health Centre Kurathikad,Community Health Centre (CHC),Alappuzha,,"Alappuzha, Kerala, 686102",,,,Department of Health and Family Welfare,9.4251591,76.4894555,node/7730161990,OpenStreetMap
District Hospital Mavelikkara,District Hospital,Alappuzha,,"Mavelikkara - Kozhencherry Road, mavelikara, Alappuzha, Kerala, 690101",,,,Department of Health and Family Welfare,9.2562213,76.5516,way/798626112,OpenStreetMap
Family Health Centre Ala,Family Health Centre (FHC),Alappuzha,,"Chengannur, Alappuzha, Alappuzha, Kerala, 689126",,,,Department of Health Centre,9.2788516,76.6184456,way/800764411,OpenStreetMap
Primary Health Center Muttar,Primary Health Centre (PHC),Alappuzha,,"Alappuzha, Kerala, 689595",,,,,9.412204,76.475457,node/7730161971,OpenStreetMap
Sacred Heart General Hospital,General Hospital,Alappuzha,,"Alappuzha, Kerala, 688524",,,,,9.6622164,76.3391393,node/6951443873,OpenStreetMap
"Urban Primary Health Centre, Mangalam",Primary Health Centre (PHC),Alappuzha,,"Mangalam, Alappuzha, Alappuzha, Kerala, 688007",,,,,9.5118877,76.3200821,node/7730161936,OpenStreetMap
"Urban Primary Health Centre, Nehrutrophy",Primary Health Centre (PHC),Alappuzha,,"Nehrutrophy, Alappuzha, Alappuzha, Kerala, 688006",,,,,9.508863,76.360736,node/7730161985,OpenStreetMap
"District Medical Office, Ernakulam",Alternative,Ernakulam,,Ernakulam,+91-4842335592,,,Government,9.9889992,76.3101419,way/995515470,OpenStreetMap
Ayyamppilly Government Hospital,Hospital,Ernakulam,,"Ernakulam, Kerala, 682501",,,,,10.1209511,76.1990261,node/7213422481,OpenStreetMap
"Family Health Centre, Karumaloor",Family Health Centre (FHC),Ernakulam,,"Ernakulam, Kerala, 683511",,,,Department of Health and Family Welfare,10.1305579,76.2926698,way/827583303,OpenStreetMap
General Clinic,Clinic,Ernakulam,,"Ernakulam, Kerala, 683562",,,,,10.0262289,76.4479498,node/6966008682,OpenStreetMap
General Hospital Ernakulam,General Hospital,Ernakulam,,"Ernakulam, Kerala, 682011",,,,Department of Health Services,9.9720127,76.2810367,way/755600802,OpenStreetMap
