name,type,district,address,phone,email,website,operator,opening_hours,speciality,lat,lon,osm_id,source
Aby's Speciality,Private Hospital,Alappuzha,688012,,,,,,,9.4823961,76.3258079,node/7730161938,OpenStreetMap
"Ahalia Foundation Eye Hospital, Kayamkulam",Eye Clinic,Alappuzha,690502,,,,,,,9.1753012,76.5010871,node/6954354078,OpenStreetMap
Al Shifa Clinic,GP / Clinic,Alappuzha,690516,,,,,,,9.2587914,76.4399409,node/7730161962,OpenStreetMap
Alpha Palliative Care,GP / Clinic,Alappuzha,688013,,,,,,,9.5077706,76.3510861,node/7730161991,OpenStreetMap
Ambalayam Clinic,GP / Clinic,Alappuzha,689622,,,,,,,9.316443,76.53448,node/7730161957,OpenStreetMap
Assisi Hospital,Private Hospital,Alappuzha,688003,,,,,,,9.4494025,76.3355474,node/7730161959,OpenStreetMap
Ayurveda Hospital,Private Hospital,Alappuzha,689624,,,,,,,9.3100276,76.5646828,node/7730161980,OpenStreetMap
Bhaskara Ayurvedha Clinic,GP / Clinic,Alappuzha,689504,,,,,,,9.293264,76.6492264,node/7730161919,OpenStreetMap
Bkm Hospital,Private Hospital,Alappuzha,688561,,,,,,,9.3783095,76.3570638,node/7730161912,OpenStreetMap
C.K.V. Hospital,Private Hospital,Alappuzha,688526,,,,,,,9.8023738,76.3533926,node/6965686401,OpenStreetMap
Carecraft Hospital,Specialist Clinic (General;Chiropractic;Gynaecology;Ophthalmology;Paediatrics;Surgery;Radiology;Cardiology),Alappuzha,690514,,,,,,general;chiropractic;gynaecology;ophthalmology;paediatrics;surgery;radiology;cardiology,9.284486,76.439414,node/7730161998,OpenStreetMap
Centre for Asthma and Allergy,ENT Clinic,Alappuzha,688008,,,,,,,9.5221238,76.3273685,node/7730161966,OpenStreetMap
Century Hospital,ENT Clinic,Alappuzha,689505,+91-479-2463000,,http://centuryhospital.org/,,,,9.30483,76.6353629,node/7210879749,OpenStreetMap
Chaithanya Eye Hospital,Eye Clinic,Alappuzha,690514,,,,,,,9.2781277,76.4601365,node/6951073228,OpenStreetMap
Cherian Memorial St. Lukes Hospital,Private Hospital,Alappuzha,689122,,,,,,,9.307432,76.623438,node/7730161906,OpenStreetMap
Christos Hospital,Private Hospital,Alappuzha,690502,,,,,,,9.1624227,76.5055055,node/4829752232,OpenStreetMap
Deepa Hospital,Private Hospital,Alappuzha,690514,,,,,,,9.3023083,76.4338401,node/6956664907,OpenStreetMap
Deepa Hospital,Private Hospital,Alappuzha,690548,,,,,,,9.2834853,76.4405647,node/7730162000,OpenStreetMap
Deepthi Dental Clinic,Dental Clinic,Alappuzha,690514,,,,,,,9.2833565,76.4588898,node/7730161996,OpenStreetMap
Dental World,Dental Clinic,Alappuzha,"Chengannur, 689122",,,,,,orthodontics;clinic;dentist,9.3075822,76.6233053,node/7730161956,OpenStreetMap
Diabetic Health Care Centre,ENT Clinic,Alappuzha,689121,,,,,,,9.3116247,76.6083757,node/7730161937,OpenStreetMap
Dr. Atma Gopi Memorial Hospital,Private Hospital,Alappuzha,689112,,,,,,,9.3733249,76.5096581,node/7730161989,OpenStreetMap
Dr. Benny's Dentistree,Dental Clinic,Alappuzha,689122,,,,,,,9.3025999,76.6264967,node/7730161905,OpenStreetMap
Dr. Isha's Skin Care Centre,Dermatology Clinic,Alappuzha,688524,,,,,,,9.6799257,76.3431555,node/7730161963,OpenStreetMap
Dr. Jaya's Sreepadam Ayurveda Panchakarma Hospital,Private Hospital,Alappuzha,688561,,,,,,,9.3849904,76.356014,node/7730161988,OpenStreetMap
Dr. K Radhakrishnan,GP / Clinic,Alappuzha,688005,,,,,,,9.3993753,76.354231,node/7730161908,OpenStreetMap
